NODE_ID,WEIGHT,VOLUME,SERVICE_TIME,EAT,LAT,TIME WINDOW
1,15.216,0.019440000000000002,4,0,300,"(0,300)"
2,2.436,0.009109,4,0,300,"(0,300)"
3,39.845,0.17937400000000003,8,0,360,"(0,360)"
4,0.513,0.003871,4,0,300,"(0,300)"
5,0.306,0.002448,4,0,300,"(0,300)"
6,3.657,0.011236000000000001,12,0,180,"(0,180)"
7,0.1,0.0007199999999999999,4,0,300,"(0,300)"
8,13.0,0.0878,12,0,180,"(0,180)"
9,0.304,0.002996,4,0,300,"(0,300)"
10,8.87,0.06057,4,0,300,"(0,300)"
11,10.77,0.21244,4,0,300,"(0,300)"
12,8.556,0.022984,12,0,180,"(0,180)"
13,0.748,0.0032080000000000003,4,0,300,"(0,300)"
14,5.534,0.014857,4,0,300,"(0,300)"
15,1.036,0.005045,4,0,300,"(0,300)"
16,0.11,0.0014039999999999999,12,0,180,"(0,180)"
17,2.194,0.004151,4,0,300,"(0,300)"
18,68.676,0.291935,8,0,360,"(0,360)"
19,3.018,0.010801999999999999,4,0,300,"(0,300)"
20,0.384,0.002664,4,0,300,"(0,300)"
21,51.272999999999996,0.11426,4,0,300,"(0,300)"
22,12.9,0.0455,12,0,180,"(0,180)"
23,60.488,0.180588,12,0,180,"(0,180)"
24,5.456,0.01418,4,0,300,"(0,300)"
25,2.062,0.008678000000000002,4,0,300,"(0,300)"
26,7.556,0.18266,4,0,300,"(0,300)"
27,9.419,0.019830999999999998,8,0,360,"(0,360)"
28,180.346,0.9783820000000001,8,0,360,"(0,360)"
29,3.861,0.026357000000000002,8,0,360,"(0,360)"
30,1.52,0.0116,4,0,300,"(0,300)"
31,14.524,0.060089000000000004,8,0,360,"(0,360)"
32,0.639,0.003509,8,0,360,"(0,360)"
33,31.074,0.128636,8,0,360,"(0,360)"
34,1.32,0.006758,12,0,180,"(0,180)"
35,58.794,0.11587,8,0,360,"(0,360)"
36,51.135,0.11319,4,0,300,"(0,300)"
37,0.081,0.000642,8,0,360,"(0,360)"
38,23.309,0.043682000000000006,4,0,300,"(0,300)"
39,0.524,0.002297,4,0,300,"(0,300)"
40,0.039,0.00028000000000000003,4,0,300,"(0,300)"
41,138.14499999999998,0.798585,8,0,360,"(0,360)"
42,2.028,0.003706,4,0,300,"(0,300)"
43,12.158999999999999,0.056739,12,0,180,"(0,180)"
44,1.027,0.002855,4,0,300,"(0,300)"
45,0.99,0.00186,12,0,180,"(0,180)"
46,6.732,0.013069,4,0,300,"(0,300)"
47,18.6,0.09207,4,0,300,"(0,300)"
48,46.245,0.10581,4,0,300,"(0,300)"
49,38.99,0.25631,12,0,180,"(0,180)"
50,0.34,0.00254,12,0,180,"(0,180)"
51,3.783,0.007646,4,0,300,"(0,300)"
52,0.166,0.001606,4,0,300,"(0,300)"
53,4.83,0.01757,4,0,300,"(0,300)"
54,230.79999999999998,0.461148,12,0,180,"(0,180)"
55,6.0,0.01943,4,0,300,"(0,300)"
56,0.136,0.0008060000000000001,4,0,300,"(0,300)"
57,6.73,0.037232,12,0,180,"(0,180)"
58,0.4,0.002872,12,0,180,"(0,180)"
59,0.21,0.00123,4,0,300,"(0,300)"
60,2.994,0.005634999999999999,4,0,300,"(0,300)"
61,2.38,0.00405,4,0,300,"(0,300)"
62,31.371,0.062932,4,0,300,"(0,300)"
63,137.9,0.26838,4,0,300,"(0,300)"
