NODE_ID,WEIGHT,VOLUME,SERVICE_TIME,EAT,LAT,TIME_WINDOW
1,1.321,0.002435,4,0,300,"(0,300)"
2,48.698,0.186691,8,0,360,"(0,360)"
3,15.5,0.056229999999999995,12,0,180,"(0,180)"
4,0.552,0.00156,4,0,300,"(0,300)"
5,0.152,0.0011979999999999998,4,0,300,"(0,300)"
6,17.004,0.09738200000000001,12,0,180,"(0,180)"
7,78.32000000000001,0.16975200000000001,12,0,180,"(0,180)"
8,0.644,0.0026880000000000003,4,0,300,"(0,300)"
9,211.136,0.366652,12,0,180,"(0,180)"
10,1.575,0.003463,4,0,300,"(0,300)"
11,0.2,0.0014399999999999999,4,0,300,"(0,300)"
12,2.151,0.005894,4,0,300,"(0,300)"
13,0.152,0.001498,4,0,300,"(0,300)"
14,0.304,0.002996,4,0,300,"(0,300)"
15,5.266,0.009578,4,0,300,"(0,300)"
16,12.041,0.022972000000000003,4,0,300,"(0,300)"
17,0.204,0.002276,4,0,300,"(0,300)"
18,1.506,0.016512,12,0,180,"(0,180)"
19,0.154,0.001916,4,0,300,"(0,300)"
20,0.219,0.002276,4,0,300,"(0,300)"
21,1.424,0.06872,4,0,300,"(0,300)"
22,0.137,0.000212,4,0,300,"(0,300)"
23,7.816,0.048658,12,0,180,"(0,180)"
24,0.228,0.002247,4,0,300,"(0,300)"
25,0.2,0.0014399999999999999,4,0,300,"(0,300)"
26,0.304,0.002996,4,0,300,"(0,300)"
27,0.304,0.002996,4,0,300,"(0,300)"
28,0.304,0.002996,4,0,300,"(0,300)"
29,0.254,0.0026360000000000003,4,0,300,"(0,300)"
30,0.26,0.0016950000000000001,12,0,180,"(0,180)"
31,1.248,0.005640000000000001,4,0,300,"(0,300)"
32,0.104,0.001556,4,0,300,"(0,300)"
33,0.889,0.006741,4,0,300,"(0,300)"
34,75.252,0.135276,12,0,180,"(0,180)"
35,2.505,0.0057009999999999995,4,0,300,"(0,300)"
36,2.109,0.004054,4,0,300,"(0,300)"
37,3.9939999999999998,0.03153,12,0,180,"(0,180)"
38,25.56,0.056159999999999995,12,0,180,"(0,180)"
39,60.925,0.15018,12,0,180,"(0,180)"
40,3.3,0.0225,12,0,180,"(0,180)"
41,0.78,0.005082,12,0,180,"(0,180)"
42,0.083,0.000803,4,0,300,"(0,300)"
43,0.304,0.002996,4,0,300,"(0,300)"
44,1.49,0.00279,8,0,360,"(0,360)"
45,0.204,0.002276,4,0,300,"(0,300)"
46,0.304,0.002996,4,0,300,"(0,300)"
47,162.76500000000001,0.346032,12,0,180,"(0,180)"
48,0.304,0.002996,4,0,300,"(0,300)"
49,0.552,0.0023039999999999996,4,0,300,"(0,300)"
50,64.14200000000001,0.21543099999999998,4,0,300,"(0,300)"
51,0.304,0.002996,4,0,300,"(0,300)"
52,0.352,0.0029100000000000003,4,0,300,"(0,300)"
53,0.039,0.00028000000000000003,4,0,300,"(0,300)"
54,2.439,0.004095,4,0,300,"(0,300)"
55,2.415,0.008785,4,0,300,"(0,300)"
56,0.227,0.0020169999999999997,4,0,300,"(0,300)"
57,0.784,0.001728,4,0,300,"(0,300)"
58,0.752,0.0015129999999999998,4,0,300,"(0,300)"
59,0.304,0.002996,4,0,300,"(0,300)"
60,3.905,0.008236,4,0,300,"(0,300)"
61,3.506,0.007539,4,0,300,"(0,300)"
62,0.15,0.00108,4,0,300,"(0,300)"
63,0.152,0.001498,4,0,300,"(0,300)"
64,13.0,0.0702,4,0,300,"(0,300)"
65,2.825,0.005547,4,0,300,"(0,300)"
66,2.8,0.013966,8,0,360,"(0,360)"
67,62.732000000000006,0.258053,8,0,360,"(0,360)"
68,8.27,0.043299,8,0,360,"(0,360)"
69,64.153,0.18321499999999996,8,0,360,"(0,360)"
70,0.73,0.003415,4,0,300,"(0,300)"
71,32.217,0.155941,8,0,360,"(0,360)"
72,5.442,0.010457000000000001,4,0,300,"(0,300)"
73,6.312,0.026952,4,0,300,"(0,300)"
74,66.416,0.30336,4,0,300,"(0,300)"
