NODE_ID,WEIGHT,VOLUME,SERVICE_TIME,EAT,LAT,TIME WINDOW
1,87.657,0.38341,4,0,300,"(0,300)"
2,15.95,0.06865,12,0,180,"(0,180)"
3,19.709,0.08752,4,0,300,"(0,300)"
4,31.995,0.10035,4,0,300,"(0,300)"
5,0.68,0.00508,4,0,300,"(0,300)"
6,1.445,0.01369,8,0,360,"(0,360)"
7,4.008,0.01666,12,0,180,"(0,180)"
8,1.648,0.00621,4,0,300,"(0,300)"
9,36.525,0.08085,4,0,300,"(0,300)"
10,44.986,0.09939,4,0,300,"(0,300)"
11,42.332,0.1012,4,0,300,"(0,300)"
12,43.83,0.09702,4,0,300,"(0,300)"
13,8.206,0.18442,4,0,300,"(0,300)"
14,11.757,0.02694,4,0,300,"(0,300)"
15,2.064,0.00366,4,0,300,"(0,300)"
16,6.287,0.03622,12,0,180,"(0,180)"
17,12.5,0.02481,4,0,300,"(0,300)"
18,6.4,0.03507,12,0,180,"(0,180)"
19,0.304,0.003,4,0,300,"(0,300)"
20,0.355,0.0017,12,0,180,"(0,180)"
21,1.699,0.0032,4,0,300,"(0,300)"
22,22.63,0.12536,4,0,300,"(0,300)"
23,5.705,0.07202,4,0,300,"(0,300)"
24,7.91,0.02005,8,0,360,"(0,360)"
25,2.234,0.00466,4,0,300,"(0,300)"
26,0.48,0.00194,12,0,180,"(0,180)"
27,1.421,0.00256,8,0,360,"(0,360)"
28,30.301,0.04118,12,0,180,"(0,180)"
29,46.7,0.70737,4,0,300,"(0,300)"
30,66.36,0.24107,8,0,360,"(0,360)"
31,45.936,0.0913,12,0,180,"(0,180)"
32,0.85,0.00592,4,0,300,"(0,300)"
33,36.525,0.08085,4,0,300,"(0,300)"
34,0.798,0.05213,4,0,300,"(0,300)"
35,3.902,0.00725,4,0,300,"(0,300)"
36,21.107,0.04216,4,0,300,"(0,300)"
37,2.415,0.00879,4,0,300,"(0,300)"
38,3.015,0.01033,4,0,300,"(0,300)"
39,0.368,0.00099,4,0,300,"(0,300)"
40,43.83,0.09702,4,0,300,"(0,300)"
41,59.462,0.25106,8,0,360,"(0,360)"
42,14.844,0.1044,8,0,360,"(0,360)"
43,54.218,0.26465,8,0,360,"(0,360)"
44,5.227,0.00934,4,0,300,"(0,300)"
45,19.175,0.04469,4,0,300,"(0,300)"
46,6.402,0.01137,4,0,300,"(0,300)"
47,1.292,0.00325,4,0,300,"(0,300)"
48,7.01,0.01405,4,0,300,"(0,300)"
49,6.289,0.01267,4,0,300,"(0,300)"
50,0.408,0.00305,4,0,300,"(0,300)"
51,14.3,0.09658,12,0,180,"(0,180)"
52,6.66,0.09378,12,0,180,"(0,180)"
53,0.17,0.00085,12,0,180,"(0,180)"
54,19.84,0.05703,4,0,300,"(0,300)"
55,29.704,0.12778,12,0,180,"(0,180)"
56,0.69,0.00151,4,0,300,"(0,300)"
57,2.539,0.00473,4,0,300,"(0,300)"
58,25.26,0.10191,12,0,180,"(0,180)"
59,21.915,0.04851,4,0,300,"(0,300)"
60,0.379,0.00352,4,0,300,"(0,300)"
61,199.598,0.75786,8,0,360,"(0,360)"
62,21.032,0.434,8,0,360,"(0,360)"
63,143.608,0.74778,4,0,300,"(0,300)"
64,15.048,0.05064,4,0,300,"(0,300)"
65,1.242,0.00452,4,0,300,"(0,300)"
66,2.484,0.00904,4,0,300,"(0,300)"
67,1.2,0.00308,4,0,300,"(0,300)"
68,43.83,0.09702,4,0,300,"(0,300)"
69,18.64,0.0768,12,0,180,"(0,180)"
70,11.462,0.07972,8,0,360,"(0,360)"
71,51.406,0.25378,8,0,360,"(0,360)"
72,10.92,0.029,12,0,180,"(0,180)"
73,0.108,0.00086,8,0,360,"(0,360)"
74,7.242,0.08382,8,0,360,"(0,360)"
75,0.07,0.0014,8,0,360,"(0,360)"
76,15.795,0.1453,8,0,360,"(0,360)"
77,305.19,1.95178,8,0,360,"(0,360)"
78,13.015,0.04691,4,0,300,"(0,300)"
