,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
0,0,23,18,21,16,22,21,22,23,19,24,22,27,26,28,25,20,26,24,39,41,39,42,41,32,29,30,29,31,34,32,31,32,34,33,42,46,37,34,34,32,29,31,30,32,35,32,34,35,36,40,43,31,32,25,38,26,24,32,22,34,27,29,23,28,23,23,24,27,26,26,27,28,25,27,29,29,29,32
1,24,0,5,6,7,20,19,20,2,23,5,14,25,8,25,9,14,23,23,21,24,24,27,24,27,27,33,26,28,28,27,28,29,35,31,27,33,34,32,33,33,16,16,17,20,22,19,19,19,21,25,27,26,27,14,21,16,13,11,14,14,13,15,9,10,8,8,6,11,14,12,11,11,12,13,15,7,6,6
2,19,6,0,6,2,20,14,17,7,9,8,13,24,11,23,12,13,21,19,25,28,27,31,28,30,24,25,24,31,32,30,31,32,29,28,31,36,32,29,29,27,22,20,20,23,28,23,22,23,24,28,31,30,30,17,25,17,16,14,14,18,17,19,12,14,11,10,9,15,17,15,15,15,16,17,19,11,11,12
3,23,6,6,0,7,25,18,23,5,2,10,18,28,7,29,15,18,27,25,28,29,30,33,30,32,29,32,31,33,33,32,34,34,40,37,33,35,41,38,38,38,22,22,23,25,28,24,25,25,27,31,33,32,32,19,27,21,18,16,19,20,18,21,6,10,5,5,4,12,14,17,17,16,18,19,20,13,12,11
4,25,8,2,7,0,13,12,15,9,8,8,12,21,12,21,11,14,19,15,18,12,17,13,12,12,9,5,8,7,15,9,10,11,16,14,13,22,21,19,21,19,22,21,21,23,19,20,20,20,19,15,14,11,12,19,17,18,20,16,13,22,16,24,13,15,12,11,10,16,18,14,15,14,15,16,25,13,13,14
5,22,20,19,24,12,0,18,17,15,18,16,9,21,26,22,12,12,20,15,18,20,25,21,18,18,17,14,16,16,23,19,20,22,26,24,23,29,28,25,25,22,17,23,23,27,26,22,22,22,23,23,24,18,20,11,18,6,14,15,11,21,23,26,23,28,22,23,24,31,26,22,22,22,23,23,24,17,17,18
6,22,20,14,19,12,19,0,15,20,16,18,19,22,23,22,20,19,19,23,40,30,34,31,30,29,26,28,26,28,31,29,28,29,32,30,32,35,34,32,31,29,25,27,26,28,31,28,37,37,39,33,34,28,29,25,39,25,22,29,26,33,21,36,21,26,20,21,21,28,30,20,20,31,21,21,36,18,17,26
7,22,21,17,21,15,17,19,0,23,19,14,16,17,26,17,14,14,15,18,32,28,31,29,28,27,24,26,24,26,29,27,26,27,30,28,30,33,32,30,29,27,22,24,23,25,28,25,26,27,29,31,32,26,27,19,30,20,18,18,17,23,18,21,23,28,23,23,24,30,21,17,17,17,17,18,20,14,14,16
8,24,3,6,4,8,24,19,22,0,7,9,17,28,6,28,13,17,26,26,24,27,26,30,27,30,30,36,31,33,31,29,30,31,38,34,30,35,37,34,36,36,18,19,19,23,25,21,21,22,23,28,30,29,29,18,24,19,16,14,16,17,15,17,7,8,6,5,4,9,11,14,14,12,14,15,17,9,9,7
9,21,8,8,2,8,26,16,23,7,0,12,20,31,8,31,17,20,29,22,29,33,32,36,33,35,35,37,33,35,37,35,36,37,32,39,36,37,43,40,32,29,24,25,25,27,30,27,27,28,29,33,35,34,35,22,29,23,20,18,20,23,21,23,5,10,4,4,6,13,17,20,19,18,20,21,23,15,15,13
